Date,Saron rates
07/08/2024,1.21
07/09/2024,1.21
07/10/2024,1.21
07/11/2024,1.21
07/12/2024,1.21
07/15/2024,1.21
07/16/2024,1.21
07/17/2024,1.21
07/18/2024,1.21
07/19/2024,1.21
07/22/2024,1.21
07/23/2024,1.21
07/24/2024,1.21
07/25/2024,1.21
07/26/2024,1.21
07/29/2024,1.21
07/30/2024,1.21
07/31/2024,1.21
08/02/2024,1.21
08/05/2024,1.21
08/06/2024,1.21
08/07/2024,1.21
08/08/2024,1.21
08/09/2024,1.21
08/12/2024,1.21
08/13/2024,1.21
08/14/2024,1.21
08/15/2024,1.2
08/16/2024,1.21
08/19/2024,1.21
08/20/2024,1.2
08/21/2024,1.21
08/22/2024,1.21
08/23/2024,1.21
08/26/2024,1.21
08/27/2024,1.21
08/28/2024,1.21
08/29/2024,1.21
08/30/2024,1.22
09/02/2024,1.21
09/03/2024,1.21
09/04/2024,1.21
09/05/2024,1.21
09/06/2024,1.21
09/09/2024,1.21
09/10/2024,1.21
09/11/2024,1.21
09/12/2024,1.21
09/13/2024,1.21
09/16/2024,1.21
09/17/2024,1.21
09/18/2024,1.21
09/19/2024,1.21
09/20/2024,1.21
09/23/2024,1.21
09/24/2024,1.21
09/25/2024,1.21
09/26/2024,1.21
09/27/2024,0.95
09/30/2024,0.96
10/01/2024,0.95
10/02/2024,0.95
10/03/2024,0.94
10/04/2024,0.93
10/07/2024,0.93
10/08/2024,0.93
10/09/2024,0.94
10/10/2024,0.93
10/11/2024,0.94
10/14/2024,0.94
10/15/2024,0.94
10/16/2024,0.94
10/17/2024,0.94
10/18/2024,0.94
10/21/2024,0.95
10/22/2024,0.95
10/23/2024,0.95
10/24/2024,0.95
10/25/2024,0.95
10/28/2024,0.95
10/29/2024,0.95
10/30/2024,0.95
10/31/2024,0.95
11/01/2024,0.95
11/04/2024,0.95
11/05/2024,0.95
